skpID,lng,lat,place_id,formatted_address,administrative_area_level_3
7.json,-6.9028882,107.6062596,El5KbC4gVGFtYW5zYXJpIEJhd2FoIE5vLjc2LCBUYW1hbnNhcmksIEJhbmR1bmcgV2V0YW4sIEtvdGEgQmFuZHVuZywgSmF3YSBCYXJhdCA0MDExNiwgSW5kb25lc2lh,"Jl. Tamansari Bawah No.76, Tamansari, Bandung Wetan, Kota Bandung, Jawa Barat 40116, Indonesia",Bandung Wetan
70.json,-6.9134539,107.6090197,El9KbC4gV2FzdHVrZW5jYW5hIE5vLjIsIEJhYmFrYW4gQ2lhbWlzLCBTdW11ciBCYW5kdW5nLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQgNDAxMTcsIEluZG9uZXNpYQ,"Jl. Wastukencana No.2, Babakan Ciamis, Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",Sumur Bandung
71.json,-6.945546100000001,107.5830326,ChIJr9SG2LboaC4R1TA2d7h_IcQ,"Jl. Caringin No.103, Babakan Ciparay, Kota Bandung, Jawa Barat 40223, Indonesia",Babakan Ciparay
72.json,-6.9134539,107.6090197,El9KbC4gV2FzdHVrZW5jYW5hIE5vLjIsIEJhYmFrYW4gQ2lhbWlzLCBTdW11ciBCYW5kdW5nLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQgNDAxMTcsIEluZG9uZXNpYQ,"Jl. Wastukencana No.2, Babakan Ciamis, Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",Sumur Bandung
73.json,-6.9254387,107.606783,ChIJoyrfVSbmaC4RiVB4TKpk-w4,"Jl. Kautamaan Istri, Balonggede, Regol, Kota Bandung, Jawa Barat 40251, Indonesia",Regol
74.json,-6.909841000000001,107.597021,ChIJyT4NbxXmaC4RTFHtE-4YD3g,"Jl. Semar No.5, Arjuna, Cicendo, Kota Bandung, Jawa Barat 40172, Indonesia",Cicendo
75.json,-6.917945,107.6016225,EkxKbC4gWWFrdWIgTm8uMzYsIEtiLiBKZXJ1aywgQW5kaXIsIEtvdGEgQmFuZHVuZywgSmF3YSBCYXJhdCA0MDE4MSwgSW5kb25lc2lh,"Jl. Yakub No.36, Kb. Jeruk, Andir, Kota Bandung, Jawa Barat 40181, Indonesia",Andir
76.json,-6.9153578,107.5901672,ChIJ0RM_FxHmaC4R-3lgYxhhwaI,"Jl. Arjuna No.18, Ciroyom, Andir, Kota Bandung, Jawa Barat 40182, Indonesia",Andir
77.json,-6.8631531,107.607616,ChIJK6mC_8LmaC4RLOHe8riduK8,"Jl. Bukit Raya, Ciumbuleuit, Cidadap, Kota Bandung, Jawa Barat 40142, Indonesia",Cidadap
78.json,-6.9385683,107.66321,ChIJLc0JgxzoaC4R2acnhnKmRJk,"Jl. Manjah Lega No. 41 Margasari Margacinta Bandung Jawa Barat, Jatisari, Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia",Buahbatu
79.json,-6.9380143,107.6266227,ChIJrZE5UWPoaC4RkPdKdj8W7pw,"Jl. Solontongan II, Turangga, Lengkong, Kota Bandung, Jawa Barat 40264, Indonesia",Lengkong
8.json,-6.9134539,107.6090197,El9KbC4gV2FzdHVrZW5jYW5hIE5vLjIsIEJhYmFrYW4gQ2lhbWlzLCBTdW11ciBCYW5kdW5nLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQgNDAxMTcsIEluZG9uZXNpYQ,"Jl. Wastukencana No.2, Babakan Ciamis, Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",Sumur Bandung
80.json,-6.885568399999999,107.5629281,ChIJZ_b9hC3kaC4RnAkcLKZvm_I,"Jl. BUDI, Cilember No.121, Pasirkaliki, Cimahi Utara, Kota Cimahi, Jawa Barat 40514, Indonesia",Cimahi Utara
81.json,-6.9646878,107.6821595,EjtKbC4gRGVyd2F0aSwgUmFuY2FzYXJpLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQsIEluZG9uZXNpYQ,"Jl. Derwati, Rancasari, Kota Bandung, Jawa Barat, Indonesia",Rancasari
82.json,-6.8800946,107.576449,ChIJP0l9-oLmaC4RRqvsqCHRMno,"Jl. Sarimanah Raya No.23, Sarijadi, Sukasari, Kota Bandung, Jawa Barat 40151, Indonesia",Sukasari
83.json,-6.923139399999999,107.6598766,ElhKbC4gWW9neWFrYXJ0YSBOby4xLCBBbnRhcGFuaSBLaWR1bCwgQW50YXBhbmksIEtvdGEgQmFuZHVuZywgSmF3YSBCYXJhdCA0MDI5MSwgSW5kb25lc2lh,"Jl. Yogyakarta No.1, Antapani Kidul, Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",Antapani
84.json,-6.94344,107.577695,ChIJC5eG6bPoaC4RZZ63t8X2Jm8,"Jl. Caringin, Kota Bandung, Jawa Barat, Indonesia",Antapani
85.json,-6.891420699999999,107.5882705,ElNKbC4gU3VrYW11bHlhIE5vLjMzLCBTdWthZ2FsaWgsIFN1a2FqYWRpLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQgNDAxNjMsIEluZG9uZXNpYQ,"Jl. Sukamulya No.33, Sukagalih, Sukajadi, Kota Bandung, Jawa Barat 40163, Indonesia",Sukajadi
86.json,-6.9403161,107.6444053,EllKbC4gU2VrZWphdGkgTm8uMjMsIEtiLiBLYW5na3VuZywgS2lhcmFjb25kb25nLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQgNDAyODQsIEluZG9uZXNpYQ,"Jl. Sekejati No.23, Kb. Kangkung, Kiaracondong, Kota Bandung, Jawa Barat 40284, Indonesia",Kiaracondong
87.json,52.1858859,11.9127117,ChIJ6Vjl26NNr0cRE-lBzO7rLjM,"Jerichower Land, Germany",Jerichower Land
88.json,52.1858859,11.9127117,ChIJ6Vjl26NNr0cRE-lBzO7rLjM,"Jerichower Land, Germany",Jerichower Land
89.json,52.1858859,11.9127117,ChIJ6Vjl26NNr0cRE-lBzO7rLjM,"Jerichower Land, Germany",Jerichower Land
9.json,-6.9134539,107.6090197,El9KbC4gV2FzdHVrZW5jYW5hIE5vLjIsIEJhYmFrYW4gQ2lhbWlzLCBTdW11ciBCYW5kdW5nLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQgNDAxMTcsIEluZG9uZXNpYQ,"Jl. Wastukencana No.2, Babakan Ciamis, Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",Sumur Bandung
90.json,52.1858859,11.9127117,ChIJ6Vjl26NNr0cRE-lBzO7rLjM,"Jerichower Land, Germany",Jerichower Land
91.json,-6.934671900000001,107.6080352,ChIJs2fYapvoaC4RhQ71rPfSwdk,"Jl. H. Samsudin No.34, Ciateul, Regol, Kota Bandung, Jawa Barat 40252, Indonesia",Regol
92.json,-6.9174639,107.6191228,ChIJf0dSgjnmaC4RshXo05MfahQ,"Bandung, Bandung City, West Java, Indonesia",Regol
93.json,-6.927531099999999,107.6443497,ChIJge56X3XoaC4RSzFXuBAlxNs,"Jl. Kiaracondong, Kota Bandung, Jawa Barat, Indonesia",Regol
94.json,-6.8865765,107.6221488,ChIJfdjTBQDnaC4RgMf_iS80f6E,"Jl. Sadang Luhur XI, Coblong, Sekeloa, Coblong, Kota Bandung, Jawa Barat 40134, Indonesia",Coblong
95.json,42.6747823,-83.0340746,ChIJCTHtTwrnJIgRdEXiOyxpKI8,"51745 Van Dyke, Shelby Charter Township, MI 48316, USA",Coblong
97.json,42.6747823,-83.0340746,ChIJCTHtTwrnJIgRdEXiOyxpKI8,"51745 Van Dyke, Shelby Charter Township, MI 48316, USA",Coblong
99.json,-6.9153578,107.5901672,ChIJ0RM_FxHmaC4R-3lgYxhhwaI,"Jl. Arjuna No.18, Ciroyom, Andir, Kota Bandung, Jawa Barat 40182, Indonesia",Andir
